N sim mu_vmp mu_mcmc psi_1_vmp psi_1_mcmc psi_2_vmp psi_2_mcmc psi_3_vmp psi_3_mcmc psi_4_vmp psi_4_mcmc zeta_vmp zeta_mcmc
50 4 0.01145401 0.01119605 0.007244923 0.006031473 0.006599807 0.007064762 1.111959 0.234553 0.8022004 0.1263292 0.6431665 0.5930472
50 5 0.009541573 0.0126095 0.1521859 0.1309407 0.1877552 0.5953802 0.1220571 0.5050138 0.8010796 0.1576454 0.7307462 0.7475587
50 6 0.01349167 0.01423766 0.03180714 0.03107502 0.873165 0.3793168 0.8176566 0.3589797 1.82116 0.1604638 0.7935876 0.7084638
50 7 0.01957836 0.02048561 0.04610974 0.07258284 0.2579755 0.223856 0.2812747 0.2266673 1.114754 0.07957835 0.7997245 0.6715852
50 8 0.03674601 0.05738839 0.005893534 0.007494188 0.02064733 0.02236631 0.3089235 0.2361209 1.358261 0.2670681 0.6563959 0.6620622
50 9 0.01084073 0.01271555 0.05609747 0.07743421 0.08812672 0.08576888 0.6277261 0.6593127 1.140344 0.6005287 0.7396383 0.6917078
50 10 0.02884972 0.02907699 0.01135641 0.0193765 0.05985402 0.07920798 0.06066741 0.1862954 0.1133221 0.2219942 0.6459411 0.6232685
50 11 0.01568719 0.02013144 0.004085087 0.007688489 0.03562873 0.04789647 0.4458549 0.4256923 0.9462405 0.3633518 0.6739603 0.6252841
50 12 0.01953958 0.01102651 0.002922606 0.004671354 0.162661 0.1370077 0.6200286 0.4049304 1.140439 0.3045029 0.6953411 0.6372982
50 13 0.02303047 0.01403127 0.0244108 0.02577476 0.09358143 0.09287448 0.615708 0.3272399 1.847081 0.2046041 0.6851265 0.6608858
50 14 0.02050143 0.02115923 0.01870033 0.02244988 0.0293139 0.02942383 0.06747738 0.05963983 1.688266 0.1079389 0.6905292 0.6417779
50 15 0.01629453 0.0206977 0.01239439 0.01498054 0.02212056 0.02757894 0.7737932 0.4380985 1.742573 0.3473213 0.7092034 0.6473414
50 16 0.007691574 0.007140112 0.03801487 0.04039039 0.05542243 0.05938568 0.05084342 0.04438465 1.924132 0.1173312 0.6611884 0.6281515
50 17 0.02620157 0.0259598 0.008619089 0.01164982 0.4787107 0.443279 0.4606876 0.4294074 1.571874 0.06918867 0.7138621 0.6865527
50 18 0.07468956 0.07786237 0.080127 0.07707436 0.1294166 0.1232914 0.2668516 0.2533024 0.5774554 0.4167005 0.7170044 0.7276622
50 19 0.007559804 0.01350406 0.02258865 0.02789232 0.08924918 0.08934143 0.5089786 0.4477259 0.5305262 0.4331262 0.6825763 0.6739569
50 20 0.006625699 0.00736114 0.02004462 0.01850136 0.02911721 0.02657568 0.5956056 0.2180007 0.4572697 0.3027439 0.6729601 0.6247794
50 21 0.1263005 0.1096851 0.01937553 0.01995836 0.06476029 0.06397404 0.3786157 0.1947147 0.4382808 0.2384144 0.7239976 0.6948357
50 22 0.01851071 0.009959968 0.01933093 0.01402511 0.02391477 0.06662616 0.5653623 0.0562937 1.349444 0.2720725 0.6784056 0.6386079
50 23 0.009612521 0.009442709 0.03687428 0.0389795 0.138359 0.09951035 0.2079667 0.159931 1.668729 0.271088 0.6530703 0.6329561
50 24 0.02395389 0.02545995 0.004589416 0.004927258 0.07564918 0.1131987 0.7519905 0.1680219 1.499759 0.16287 0.6830904 0.6266962
50 25 0.03440978 0.02542152 0.01091472 0.01019166 0.08016045 0.07515045 0.2149044 0.1890769 1.830716 0.305754 0.6618017 0.6391818
50 26 0.0300391 0.03765498 0.007240342 0.009254618 0.05283361 0.04265961 0.09012901 0.07091541 1.813153 0.1010887 0.6627257 0.6433173
50 27 0.01037927 0.03747307 0.01143531 0.005701935 0.03225899 0.01983418 0.7316592 0.1024924 1.990086 0.0721038 0.6890729 0.6464024
50 28 0.01871396 0.01705145 0.03348903 0.03412867 0.01699486 0.02034805 1.061792 0.2205789 1.540056 0.2218404 0.6510315 0.6205987
50 29 0.02249076 0.02174841 0.00811831 0.009237949 0.04544129 0.04787493 0.06582703 0.0611793 1.683363 0.4410443 0.6432596 0.6350003
50 30 0.01919425 0.01742735 0.004258776 0.004138407 0.02168147 0.02169097 0.6606616 0.2768609 1.362047 0.2724244 0.673167 0.6492979
50 31 0.1262374 0.1063207 0.009934367 0.01131151 0.101328 0.0891382 1.736077 1.03803 1.685109 0.9904703 0.756653 0.7267995
50 32 0.2135291 0.1874062 0.02575003 0.02675042 0.0438972 0.04008599 0.4364559 0.1921666 0.408165 0.6551108 0.7955835 0.7478384
50 33 0.02751983 0.028101 0.02091354 0.02054224 0.04958602 0.05539553 1.94117 0.4486831 1.867093 0.4421926 0.7133509 0.6626365
50 34 0.0297327 0.03182794 0.03157151 0.02926688 0.5061107 0.4710676 0.9755147 0.9157379 1.456796 0.5907706 0.6936716 0.6986814
50 35 0.01460871 0.01629806 0.005942877 0.004036243 0.06149305 0.06299355 0.1172393 0.1259524 1.750471 0.4115883 0.6585068 0.641977
50 36 0.005119183 0.004393039 0.008577286 0.008280125 0.02529612 0.02594339 0.702905 0.2001135 1.811866 0.2737909 0.6579918 0.6126113
50 37 0.05620402 0.06647844 0.01450105 0.01144782 0.05566986 0.05616177 0.1035614 0.113016 1.63665 0.472025 0.7095699 0.7006653
