N sim mu_vmp mu_mcmc psi_11_vmp psi_11_mcmc psi_12_vmp psi_12_mcmc psi_13_vmp psi_13_mcmc psi_21_vmp psi_21_mcmc psi_22_vmp psi_22_mcmc psi_23_vmp psi_23_mcmc zeta_1_vmp zeta_1_mcmc zeta_2_vmp zeta_2_mcmc
10 77 0.1126803 0.08188608 0.01326303 0.01306333 0.192934 0.208809 0.2819469 0.2905482 0.005868908 0.008443958 0.05152857 0.04766093 1.912649 0.08294919 0.647009 0.5851102 0.8514376 0.5737095
10 78 0.1029946 0.08068923 0.2271317 0.156021 0.8065286 0.7354253 1.032189 0.8940342 0.003323282 0.003659636 1.464543 0.05878468 1.786255 0.1147392 0.7387764 0.7277753 0.8298209 0.5935061
10 79 0.06828755 0.0902666 0.117307 0.1130159 0.19821 0.1902268 0.2970211 0.2131623 0.0142171 0.0182518 1.372686 0.05764877 1.803981 0.09387392 0.7154917 0.7180044 0.8658488 0.6234503
10 80 0.02040423 0.05473246 0.3931112 0.4079421 0.4559341 0.5034927 0.1414235 0.1566305 0.00881058 0.007955089 1.418422 0.03062565 1.957027 0.03299056 0.7495271 0.7618588 0.7775747 0.6031782
10 81 0.04435635 0.0459962 0.236676 0.2971688 0.2373701 0.5296859 0.03560469 0.3934781 0.007522779 0.007158137 0.507954 0.5336935 1.303636 0.5207427 0.7352977 0.7525358 0.7573946 0.6851148
10 82 0.08275746 0.06947686 0.0706819 0.06114105 0.1383874 0.106212 0.1705785 0.1026981 0.01589117 0.01390242 1.465796 0.05290299 1.892018 0.116009 0.6140551 0.564968 1.000562 0.5777693
10 83 0.1977577 0.1379988 0.07698285 0.05469183 0.1460105 0.1753741 0.1426718 0.179829 0.0189095 0.0197352 1.686933 0.09231049 1.892912 0.1366789 0.7171827 0.6733483 0.741438 0.594757
10 84 0.03486822 0.09229318 0.08475094 0.07386426 0.02998791 0.03552456 0.4466387 0.2166882 1.931943 0.006901509 1.858646 0.3365087 1.881765 0.3593621 0.5144693 0.61352 1.028074 0.6438409
10 85 0.04849562 0.05869365 0.03149581 0.03190071 0.4811161 0.4813555 0.5279423 0.519253 0.009472683 0.008234091 0.02270834 0.02132477 1.975071 0.05447095 0.6492899 0.6556825 0.6796156 0.6169909
10 86 0.03919539 0.04198368 0.06831474 0.09894343 0.09231561 0.1187119 0.4868048 0.1691737 0.03635037 0.02703164 1.488258 0.1220573 1.906846 0.152478 0.6139872 0.5714765 0.7996894 0.6173668
10 87 0.1357181 0.2245531 0.02876386 0.01711842 0.03687428 0.05868347 0.2038138 0.2598126 0.003101377 0.004657316 0.0198734 0.02411568 1.998056 0.043284 0.6715065 0.6808814 0.6422129 0.578016
10 88 0.03235426 0.009883369 0.06326919 0.09036415 0.5659354 0.3266859 0.6965615 0.5166779 0.006143691 0.004021696 1.238294 0.06878696 1.955597 0.08910351 0.7161635 0.6569334 0.7646014 0.6123964
10 89 0.01500995 0.01271282 0.09735242 0.1123195 0.09654147 0.2110622 0.07793965 0.2184698 0.01010554 0.01309206 1.4216 0.2615306 1.80935 0.3000776 0.6316511 0.6379475 0.9031594 0.619559
10 90 0.09621727 0.102043 0.03703558 0.02187012 0.0394737 0.02344453 0.2212769 0.08961677 0.006733577 0.003408866 1.307828 0.02403655 1.936584 0.04560682 0.6377882 0.5338859 0.7681849 0.590988
10 91 0.04897059 0.01708298 0.05278118 0.06426595 0.6394104 0.4746612 0.8916804 0.7087176 0.009513989 0.005913046 1.350475 0.02599021 1.949375 0.0435895 0.6077122 0.6543977 0.8637471 0.5777802
10 92 0.1902981 0.1496982 0.03950701 0.04834691 0.8417428 0.5769808 0.823807 0.5621187 0.01281466 0.01176973 0.03333358 0.03193178 2.001661 0.02476526 0.6968958 0.6797922 0.6503929 0.5748674
10 93 0.0569021 0.0387042 0.0164079 0.01117668 0.2154249 0.3003608 0.2646366 0.3367265 1.961268 0.005858839 1.904714 0.1864772 1.883619 0.2117726 0.9373611 0.6369342 1.024446 0.619581
10 94 0.06937575 0.04544012 0.05264705 0.0529442 0.8902752 1.031763 0.8873696 0.9698366 0.01423011 0.008705479 1.476829 0.03258641 1.899317 0.05057094 0.7606951 0.7654794 1.008663 0.5953718
10 95 0.01381564 0.02350302 0.02309538 0.0226318 1.395575 1.404955 1.43621 1.322052 0.01076769 0.009918083 0.03309065 0.02765588 1.942717 0.02277772 0.717784 0.7372395 0.6617083 0.5961603
10 96 0.06553898 0.05236249 0.2791595 0.2744362 0.2132685 0.2028082 0.1727535 0.1317525 0.008408115 0.007566408 0.03231633 0.02946445 1.96082 0.05323262 0.6351444 0.6229909 0.6643218 0.5902098
10 97 0.01844046 0.00435083 0.04420445 0.05163796 0.01216255 0.02357891 0.1813151 0.1486835 0.006771041 0.007094472 0.05969209 0.05095104 1.954815 0.1062942 0.5110754 0.488143 0.6971008 0.5686732
10 98 0.1133623 0.05379686 0.02951378 0.02601555 0.1473188 0.2141505 0.256253 0.3028992 0.008813368 0.009797471 0.1382894 0.1161815 1.924782 0.1475448 0.7218304 0.6318975 0.646894 0.6060135
10 99 0.05295095 0.0969253 0.01683999 0.01370064 0.1350435 0.1476166 0.1570022 0.1655219 0.007846708 0.007096864 1.42145 0.05537426 1.888514 0.06689919 0.5759798 0.602672 1.042491 0.5885892
10 100 0.02147278 0.04415706 0.07114698 0.1019536 0.5175801 0.7202853 0.4697344 0.7414944 0.008900077 0.01009779 1.445409 0.05771812 1.849449 0.05292316 0.7306906 0.7538083 0.7526227 0.5763656
50 1 0.01603133 0.01910053 0.009503679 0.0127057 0.08581114 0.06962336 0.07520708 0.05675474 0.003531443 0.003479425 0.005168217 0.004893709 0.01092661 0.01105799 0.4576835 0.4864839 0.5603969 0.5629407
50 2 0.0870423 0.05030516 0.01637553 0.01506419 0.09115984 0.1016165 0.0890629 0.1004129 0.001803132 0.001796994 0.002138579 0.005579824 0.01384843 0.017837 0.5776751 0.5566718 0.6082223 0.5694916
50 3 0.007965777 0.005754506 0.00718063 0.005890274 0.01403369 0.01313566 0.04033169 0.05143414 0.001253554 0.00143801 0.01442952 0.00234174 0.01790511 0.007027237 0.3964316 0.367724 0.7127882 0.5620575
50 4 0.04144172 0.04341604 0.007686576 0.007181146 0.05408733 0.04800263 0.03574732 0.03209488 0.02274985 0.004635617 0.04634587 0.008521589 0.02617167 0.006146671 0.4726801 0.4847921 0.7238258 0.5654793
50 5 0.007122861 0.01025551 0.01483567 0.01403035 0.2192913 0.2237585 0.2827909 0.2878551 0.003812354 0.00456626 0.01197364 0.008243017 0.01260862 0.008954908 0.4974725 0.534936 0.5802438 0.572382
50 6 0.03381301 0.02052886 0.02647829 0.03741192 0.03976651 0.04006473 0.05013313 0.02390885 0.0006132125 0.001248792 0.005412529 0.007419491 1.935805 0.01143021 0.578483 0.4958763 0.6533055 0.5617004
50 7 0.02579359 0.01942072 0.003650675 0.001372164 0.07902229 0.04813186 0.08775932 0.05948811 0.002555799 0.001449196 0.007682586 0.009916467 0.01437687 0.01439355 0.4380273 0.4393516 0.7547605 0.5583682
50 8 0.004957014 0.004403471 0.04149718 0.04952598 0.12137 0.1250407 0.1068133 0.102842 0.002056019 0.001577898 0.005835265 0.007060467 1.974929 0.007256645 0.5763243 0.5276266 0.6365671 0.5558943
50 9 0.002823298 0.002332306 0.008637089 0.006777332 0.02991717 0.02399426 0.03314561 0.0273254 0.00220417 0.001280478 0.01568053 0.01428305 0.02683964 0.02624973 0.4014789 0.3749121 0.6472047 0.5594478
50 10 0.0181756 0.01436477 0.002640868 0.001679432 0.03316426 0.02296433 0.03619194 0.0247116 0.001773498 0.003487483 0.01018599 0.008505439 0.01097504 0.007011298 0.4112642 0.3926566 0.6803575 0.5692336
50 11 0.01025089 0.007734488 0.01747794 0.0248905 0.0220877 0.03007002 0.03490658 0.03396951 0.0006492623 0.001231719 0.003605689 0.01015498 0.008437391 0.01484952 0.4741744 0.4473276 0.6475476 0.5716864
50 12 0.05949285 0.04941861 0.02148911 0.03771434 0.01780631 0.02563817 0.0249096 0.01736674 0.004394768 0.001549565 0.008014398 0.005298668 0.008620319 0.009071081 0.551399 0.5227329 0.6317213 0.5598971
50 13 0.08756531 0.07461565 0.02486182 0.02376404 0.03878553 0.03705508 0.0300351 0.0270949 0.001595969 0.001834883 0.009557131 0.0167968 0.01092603 0.01830575 0.5877578 0.5717461 0.6006685 0.5641968
50 14 0.06148177 0.05848183 0.01662593 0.0168737 0.02527567 0.02377802 0.04034963 0.03179917 0.0006092655 0.0004938493 0.01085269 0.005438767 0.01386458 0.008685901 0.5204815 0.5099883 0.5663144 0.5557775
50 15 0.01364096 0.01053573 0.03244775 0.02491449 0.130695 0.1104624 0.1666676 0.1393201 0.003035149 0.003613395 0.01640053 0.0172811 1.919918 0.01946028 0.5199793 0.4878336 0.6533052 0.5650393
50 16 0.01576011 0.01170415 0.006006599 0.005299424 0.008529313 0.01540532 0.0248538 0.04564692 0.001843229 0.001511391 0.004688685 0.004327108 1.991933 0.007613232 0.7042531 0.3637691 0.6352973 0.5626731
50 17 0.0009594734 0.0009234095 0.006906882 0.007505696 0.03279283 0.03549068 0.02582162 0.03100546 0.0007236783 0.0005910699 0.01138402 0.01144858 0.0210583 0.02095847 0.3914759 0.3505194 0.5756953 0.5621477
50 18 0.01552681 0.01396571 0.01531004 0.008048229 0.03689839 0.05052274 0.06702123 0.09279117 0.001375353 0.001653202 0.006702957 0.00767788 0.00790998 0.008805987 0.4478793 0.4315999 0.5681928 0.5638247
50 19 0.02037809 0.02016508 0.009617022 0.01033406 0.008161508 0.01225243 0.02575305 0.02695843 0.003261524 0.003022914 0.005184276 0.004488903 0.01567951 0.01505544 0.426146 0.4267845 0.5650901 0.5637616
50 20 0.01420034 0.01114806 0.01007046 0.01104247 0.01149217 0.01408533 0.01633711 0.01772991 0.003005878 0.001589949 0.09055485 0.03688151 0.09709771 0.04411072 0.4519375 0.4025068 0.7577253 0.5668851
