N sim mu_vmp mu_mcmc psi_11_vmp psi_11_mcmc psi_12_vmp psi_12_mcmc psi_13_vmp psi_13_mcmc psi_21_vmp psi_21_mcmc psi_22_vmp psi_22_mcmc psi_23_vmp psi_23_mcmc zeta_1_vmp zeta_1_mcmc zeta_2_vmp zeta_2_mcmc
10 99 0.1120878 0.08297634 0.006820808 0.01320772 0.1340244 0.1492082 0.1380908 0.1645179 0.00777438 0.007227018 1.4239 0.05789171 1.914816 0.07044662 0.6500423 0.5959772 0.9505106 0.5994673
10 100 0.166091 0.06367769 0.142308 0.1029599 0.238341 0.7303348 0.1538701 0.7616888 0.008646613 0.009759718 1.459714 0.05773614 1.847564 0.05399893 0.8407862 0.7602966 0.7567414 0.5811351
50 1 0.02471027 0.02374559 0.008741932 0.01247911 0.05425309 0.0689094 0.04486976 0.05586068 0.003212647 0.003459897 0.005438432 0.004665051 0.01114823 0.01082933 0.4743643 0.4939853 0.6400123 0.5639168
50 2 0.08607437 0.07722475 0.01736754 0.01543211 0.2009027 0.1019577 0.2119458 0.09907887 0.002540213 0.001791395 1.512959 0.005773563 0.8168999 0.01841989 0.6508418 0.5907202 0.7721612 0.5698184
50 3 0.01223013 0.01049356 0.007539466 0.005772131 0.02047118 0.01397797 0.02327459 0.0572608 0.003044814 0.001471129 0.03121204 0.002447175 0.03740396 0.006891493 0.4117124 0.3840853 0.7291981 0.5637525
50 4 0.03947492 0.05057862 0.008465474 0.007123036 0.06183088 0.04734262 0.04418867 0.03119375 0.0665366 0.004599016 0.06479458 0.00854253 0.0159822 0.006231786 0.4722356 0.4952526 0.807683 0.566606
50 5 0.01315628 0.01502971 0.01495336 0.01412694 0.2175961 0.224208 0.2804962 0.2853128 0.003899857 0.004553456 0.01088401 0.007928419 0.0114555 0.008702151 0.4944522 0.5344483 0.57911 0.5733581
50 6 0.03862499 0.03528367 0.04868016 0.03711309 0.05451556 0.0403677 0.04306383 0.02769756 0.001739003 0.001258881 0.006539404 0.007591476 1.914236 0.01138083 0.520706 0.5241626 0.6428848 0.562631
50 7 0.02957644 0.02944114 0.002501259 0.001351963 0.05726025 0.04811549 0.06655201 0.06014696 0.001062793 0.001459872 0.0250216 0.01034617 0.02958356 0.01475678 0.4457923 0.4636054 0.6264628 0.5580278
50 8 0.007322996 0.008322674 0.04116932 0.04918414 0.1205029 0.1240297 0.1063661 0.103487 0.002060709 0.001606368 0.005798601 0.007611192 1.974669 0.007966752 0.5671689 0.5287452 0.6375728 0.55822
50 9 0.003937094 0.008299216 0.008207958 0.00674036 0.02506717 0.02389884 0.02939829 0.02926871 0.002299991 0.001296794 0.009514423 0.014578 0.02057951 0.02645593 0.4096304 0.3953732 0.6519333 0.5594405
50 10 0.034345 0.01864516 0.002275889 0.001843275 0.01891618 0.02563635 0.02188681 0.02531692 0.003094434 0.003330689 0.02845171 0.008360264 0.02740208 0.006618835 0.4684707 0.4097236 0.6053726 0.5692711
50 11 0.01111446 0.01310989 0.03309122 0.0253822 0.03857146 0.03103168 0.03159191 0.03432584 0.001448214 0.001222055 0.0104277 0.01000923 0.01445384 0.0149157 0.4895115 0.4612616 0.8062998 0.5722424
50 12 0.06625443 0.06417636 0.04500104 0.03751683 0.06324193 0.02517156 0.05198358 0.01689394 0.003676611 0.001563631 0.01604173 0.005401731 0.01749851 0.009080575 0.5912498 0.5425106 0.6690496 0.5606197
50 13 0.1110767 0.1112298 0.02716301 0.02377694 0.0409238 0.03690987 0.02945733 0.02805037 0.00145759 0.001779798 0.007855343 0.01699992 0.009332145 0.01861476 0.6199158 0.6211719 0.6122578 0.564795
50 14 0.0709721 0.07229277 0.01675101 0.01710178 0.02507967 0.02440857 0.03889097 0.03338261 0.0006097999 0.0004832378 0.01039318 0.005366069 0.0134753 0.008410232 0.5275809 0.5291874 0.5671697 0.5578687
50 15 0.01552891 0.01964688 0.02399411 0.0250147 0.108403 0.1128076 0.1360434 0.1411929 0.00726761 0.003651625 0.05620245 0.0175165 0.06399747 0.01951896 0.5173877 0.5082853 0.6343773 0.5651838
50 16 0.02058982 0.01601903 0.006689256 0.005043186 0.008320698 0.01559887 0.02499654 0.04449739 0.001848505 0.001525193 0.00468822 0.004388158 1.992147 0.007967612 0.7040272 0.3660544 0.6368408 0.5650841
50 17 0.001745096 0.002386598 0.006966021 0.007861999 0.01839194 0.03855532 0.01717139 0.03319758 0.0007372213 0.0005769702 0.01198874 0.01203774 0.02206526 0.02098062 0.6868358 0.3528451 0.5720867 0.5626725
50 18 0.015824 0.01936125 0.01477692 0.008278889 0.03770264 0.05346117 0.0670232 0.09640116 0.001361751 0.001658362 0.006401915 0.007746934 0.007513965 0.008607119 0.443071 0.4485699 0.5695764 0.5647875
50 19 0.02752416 0.02123202 0.01067287 0.01025807 0.0192955 0.0117618 0.03171168 0.025072 0.003219738 0.00299039 0.009881201 0.004388445 0.02104477 0.01507281 0.4430106 0.4238875 0.7412511 0.5648663
50 20 0.01638853 0.01759116 0.01133454 0.0106859 0.0148879 0.01433207 0.01924455 0.01943119 0.002492913 0.001540312 0.01669096 0.03634051 0.0235347 0.04377808 0.4095257 0.4225876 0.6305101 0.5673127
